"Buyer Name","Invoice Date","Invoice Number","Description","Model Number","Serial Number","AMC Start Date","AMC End Date","Mode of Payment","Taxable Value","GST Amount","Total Amount","Document Type"
"Siddhi Pathology Laboratory Bavdhan","09-Apr-2026","INCH-69-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-1301K/66)","MEK-1301K","66","1/4/2026","31/3/2027","Advance Payment","15,000.00","2,700.00","17,700.00",""
"LAXMI DIAGNOSTIC CENTRE","09-Apr-2026","INCH-75-2026","MAINTENANCE ()","MEK-1305K","291","","","Advance Payment","5,000.00","900.00","5,900.00",""
"DR PET CLINIC","09-Apr-2026","INCH-81-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-6550K/623)","MEK-6550K","623","28/1/2026","27/1/2027","Advance Payment","16,805.93","3,025.07","19,831.00",""
"RAHAT CLINCAL LAB","20-Apr-2026","INCH-414-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-1301K/40)","MEK-1301K","40","16/4/2026","15/4/2027","Advance Payment","33,898.31","6,101.70","40,000.00",""
"Siddhi Pathology Laboratory Bavdhan","09-Apr-2026","INCH-69-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-1301K/66)","MEK-1301K","66","1/4/2026","31/3/2027","Advance Payment","15,000.00","2,700.00","17,700.00",""
"Dhanwantari Clinical Laboratory","09-Apr-2026","INCH-70-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-1301K/184)","MEK-1301K","184","27/3/2026","26/9/2026","Advance Payment","8,474.58","1,525.42","10,000.00",""
"LAXMI DIAGNOSTIC CENTRE","09-Apr-2026","INCH-75-2026","MAINTENANCE ()","MEK-1305K","291","","","Advance Payment","5,000.00","900.00","5,900.00",""
"Dalvi Diagnostic Centre","09-Apr-2026","INCH-78-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-6420P-I/5266)","MEK-6420P-I","5266","24/3/2026","23/3/2027","Advance Payment","14,687.29","2,643.71","17,331.00",""
"DR PET CLINIC","09-Apr-2026","INCH-81-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-6550K/623)","MEK-6550K","623","28/1/2026","27/1/2027","Advance Payment","16,805.93","3,025.07","19,831.00",""
"SHIV CLINICAL LABORATORY-SURAT","09-Apr-2026","INCH-88-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-6420P-I/52453)","MEK-6420P-I","52453","1/4/2026","31/3/2027","Advance Payment","14,830.51","2,669.49","17,500.00",""
"KALIDAS HOSPITAL","09-Apr-2026","INCH-89-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-6510K/5857)","MEK-6510K","5857","30/3/2026","29/3/2028","Advance Payment","29,661.02","5,338.98","35,000.00",""
"LAXMI DIAGNOSTIC CENTRE","09-Apr-2026","INCH-90-2026","MAINTENANCE_CONTRACT (Model/SN : MEK-1305K/291)","MEK-1305K","291","6/4/2026","5/4/2027","Advance Payment","14,600.00","2,628.00","17,228.00",""
